O sistema funciona sem falhas.;Os recursos de acessibilidade do sistema são fáceis de encontrar.;O sistema é fácil de usar.;O sistema está disponível para uso em qualquer dia e hora.;O desempenho do sistema é satisfatório, independentemente da forma de acesso.;O sistema informa sobre as políticas de privacidade e segurança.;Acredito que meus dados estão seguros neste sistema.;É fácil localizar os serviços e as informações no sistema.;A navegação pelo sistema é intuitiva.;O sistema oferece instruções úteis de como utilizar os serviços.;As informações são fáceis de entender.;As informações são precisas.;As informações auxiliam na solicitação dos serviços.;Todas as informações necessárias para a solicitação dos serviços são fornecidas.;O prazo de entrega dos serviços é informado.;As taxas cobradas pelos serviços são informadas.;As informações disponibilizadas estão atualizadas.;Os serviços oferecem suporte técnico eficiente.;O atendimento resolve meus problemas.;Os serviços permitem a conclusão das tarefas no menor tempo possível.;Consigo obter o que preciso no menor tempo possível.;Os serviços atendem às minhas expectativas.;Quando preciso de ajuda, minhas dificuldades são resolvidas.;Meus dados são automaticamente identificados na solicitação dos serviços.;Os serviços oferecidos são confiáveis.;Os serviços permitem interações em tempo real (ex. chatbot, IA).;Qual o seu nível de satisfação com o Sistema?;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Discordo totalmente;Discordo;Concordo;Concordo;Discordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Discordo;Discordo;Concordo;Concordo;Indiferente;Concordo;Não sei;Satisfeito;Feminino;22;Ensino Médio;Não
Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Indiferente;Indiferente;Concordo;Não sei;Indiferente;Masculino;22;Ensino Médio;Não
Indiferente;Concordo;Concordo;Não sei;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Satisfeito;Masculino;20;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Insatisfeito;Feminino;24;Ensino Médio;Sim
Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Discordo;Não sei;Discordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Discordo;Não sei;Satisfeito;Masculino;24;Ensino Médio;Não
Discordo;Indiferente;Concordo;Concordo totalmente;Discordo;Não sei;Concordo totalmente;Concordo;Concordo;Discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Não sei;Indiferente;Indiferente;Concordo;Indiferente;Discordo totalmente;Concordo totalmente;Não sei;Satisfeito;Feminino;19;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Indiferente;Discordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Não sei;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Não sei;Não sei;Satisfeito;Masculino;21;Ensino Médio;Não
Não sei;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo totalmente;Não sei;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;22;Ensino Médio;Não
Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Não sei;Não sei;Concordo;Não sei;Concordo;Indiferente;Discordo;Concordo;Indiferente;Concordo;Não sei;Não sei;Satisfeito;Masculino;34;Pós-Graduação;Não
Indiferente;Concordo;Indiferente;Não sei;Não sei;Concordo;Não sei;Indiferente;Indiferente;Concordo;Indiferente;Não sei;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Não sei;Indiferente;Indiferente;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;28;Ensino Superior;Não
Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Insatisfeito;Masculino;26;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo;Concordo;Indiferente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Insatisfeito;Masculino;56;Ensino Superior;Não
Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Insatisfeito;Feminino;25;Curso Técnico;Não
Indiferente;Concordo;Indiferente;Concordo totalmente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Masculino;27;Ensino Médio;Não
Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Não sei;Indiferente;Indiferente;Discordo;Concordo;Concordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Não sei;Não sei;Indiferente;Não sei;Indiferente;Concordo;Não sei;Satisfeito;Masculino;39;Ensino Superior;Não
Discordo;Concordo;Concordo totalmente;Concordo;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo totalmente;Concordo;Não sei;Concordo;Não sei;Não sei;Discordo;Concordo;Não sei;Não sei;Indiferente;Concordo;Concordo totalmente;Não sei;Indiferente;Não sei;Não sei;Satisfeito;Masculino;21;Ensino Médio;Não
Discordo;Discordo;Discordo;Não sei;Discordo;Discordo;Não sei;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Não sei;Não sei;Discordo;Concordo;Discordo;Concordo;Discordo;Discordo;Não sei;Não sei;Concordo;Concordo;Concordo;Insatisfeito;Feminino;21;Ensino Médio;Não
Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo totalmente;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo;Discordo totalmente;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Não sei;Discordo totalmente;Muito insatisfeito;Feminino;20;Ensino Superior;Não
Concordo totalmente;Indiferente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Discordo;Concordo;Concordo;Concordo;Discordo;Indiferente;Indiferente;Concordo totalmente;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo totalmente;Discordo totalmente;Satisfeito;Masculino;23;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo;Discordo;Indiferente;Discordo totalmente;Indiferente;Concordo;Discordo;Concordo;Concordo;Indiferente;Indiferente;Discordo;Discordo totalmente;Indiferente;Indiferente;Indiferente;Discordo;Discordo totalmente;Indiferente;Concordo;Discordo;Indiferente;Discordo totalmente;Insatisfeito;Feminino;24;Ensino Médio;Não
Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Não sei;Satisfeito;Masculino;50;Ensino Médio;Não
Indiferente;Concordo;Concordo;Discordo;Indiferente;Concordo;Não sei;Não sei;Discordo;Concordo;Concordo;Discordo;Não sei;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Masculino;20;Ensino Superior;Sim
Discordo totalmente;Discordo totalmente;Concordo;Não sei;Discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo totalmente;Concordo;Concordo;Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Insatisfeito;Masculino;22;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Discordo totalmente;Discordo;Indiferente;Indiferente;Discordo;Discordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Feminino;39;Curso Técnico;Não
Discordo;Discordo;Discordo;Indiferente;Indiferente;Concordo;Discordo;;Concordo;Indiferente;Concordo;Discordo;Discordo;Indiferente;Não sei;Não sei;Discordo totalmente;Não sei;Não sei;Discordo;Discordo;Discordo;Indiferente;Indiferente;Concordo;Não sei;Indiferente;Masculino;25;Curso Técnico;Não
Discordo;Discordo;Indiferente;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Discordo;Discordo;Discordo;Concordo;Indiferente;Não sei;Não sei;Insatisfeito;Masculino;23;Curso Técnico;Não
Concordo;Discordo;Discordo;Concordo;Discordo;Concordo;Indiferente;Discordo;Concordo;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Concordo;Discordo;Concordo;Discordo;Discordo;Discordo totalmente;Concordo;Discordo totalmente;Indiferente;Feminino;30;Ensino Superior;Não
Concordo;Concordo;Concordo;Indiferente;Concordo;Não sei;Não sei;Discordo;Discordo;Discordo;Concordo;Concordo;Indiferente;Concordo totalmente;Concordo totalmente;;Discordo;Não sei;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Discordo totalmente;Indiferente;Feminino;26;Ensino Superior;Não
Indiferente;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Discordo;Discordo;Indiferente;Concordo;Não sei;Indiferente;Indiferente;Indiferente;Indiferente;Não sei;Concordo;Não sei;Indiferente;Feminino;30;Curso Técnico;Não
